	cluster	degree
Bclaf3	1	25
4930503L19Rik	1	5
Bco1	3	1341
Bco2	3	123
Bcor	0	1106
Bcr	0	1431
Bcs1l	1	22
Bdh1	1	50
Bdh2	3	54
Bend3	2	2641
Bend5	1	116
Bend7	2	415
Bet1	1	151
Bex3	0	98
Bfar	1	547
Bgn	0	1227
Bhlha15	0	18
Bhlhb9	2	37
Bhlhe40	3	173
Bhmt	3	422
Bhmt2	3	1730
Bicc1	0	1577
Bicd2	3	1832
Bicdl1	0	490
Bicra	0	1454
Bicral	0	2904
Bid	0	1083
Bin1	3	2410
Bin2	0	1119
Bin3	0	1330
Birc2	0	182
Birc3	0	578
Birc6	3	2538
Bivm	1	96
Blcap	3	2275
Bles03	1	33
Ap1s1	1	12
Blmh	0	272
Blnk	0	6
Bloc1s2	1	245
Bloc1s5	1	23
Blvra	0	73
Blvrb	3	164
Blzf1	1	30
Bmf	1	13
Bmi1	1	42
Bmp1	2	158
Bmp10	0	225
Bmp2k	0	2359
Bmp5	0	74
Bmp6	0	440
Bmp7	3	663
Bmpr1a	0	669
Bmpr2	0	1863
Bms1	2	1532
Bmyc	3	614
Bnip2	1	116
Bnip3	1	103
Bnip3l	0	182
Bod1	2	188
Bod1l1	2	2358
Bola3	1	83
Bop1	2	1213
Borcs5	3	2442
Borcs6	3	1911
Borcs7	0	60
Borcs8	0	740
Bpgm	0	2030
Bphl	3	807
Bpnt1	3	797
Bpnt2	1	36
Atl2	1	17
Bptf	2	3415
Braf	2	1667
Brap	3	2088
Brat1	2	861
Brd1	3	411
Brd2	0	1023
Brd3	0	1828
Brd4	2	2627
Brd7	2	2269
Brd8	2	1346
Brd9	2	1491
Brf1	2	2686
Brf2	2	1219
Bri3	0	648
Bri3bp	0	2163
Brix1	1	140
Brk1	1	72
Bloc1s1	1	8
Brms1	0	2747
Brms1l	2	159
Brox	1	72
Brpf1	2	2206
Brpf3	0	1346
Amigo1	0	21
Brwd1	2	927
Brwd3	2	1701
Bscl2	3	686
Bsdc1	3	2054
Bsg	0	131
Bst2	3	2084
Btaf1	2	234
Btbd1	2	1605
Btbd10	1	88
Btbd11	3	730
Btbd19	2	297
Btbd2	3	2793
Btbd3	3	1387
Btbd6	3	2097
Btbd7	2	2479
