	cluster	degree
Arid5b	0	2235
AABR07006627.1	3	46
AABR07045373.1	0	1
Arih1	2	1266
Arih2	2	1491
Arl1	3	2917
Arl10	1	151
Arl11	0	62
Arl13b	0	580
Arl14ep	0	2265
Arl15	0	305
Arl16	0	1508
Arl2	3	3479
Arl2bp	0	2569
Arl4a	0	2085
Arl4c	1	91
Arl5a	2	2581
Arl5b	0	1691
Arl6	0	2912
Arl6ip1	3	2572
Arl6ip4	3	1999
Arl6ip5	2	1333
A130010J15Rik	2	84
Arl6ip6	0	3810
Arl8a	0	3337
Arl8b	2	2173
Armc1	2	3018
Armc10	0	4039
Armc2	4	40
Armc5	1	262
Armc6	1	613
Armc7	0	364
Armc8	2	2429
Armc9	0	2405
Armcx1	0	1191
Armcx2	1	239
Armcx3	2	448
Armcx4	0	323
Armcx5	0	1982
Armcx6	0	53
Armh3	0	3223
Armt1	2	1136
Arnt	0	3461
Arntl	2	4
Arpc1a	1	2398
Arpc1b	0	1137
Arpc2	0	1009
Arpc3	3	2268
Arpc4	3	3267
Arpc5	0	1919
Arpc5l	2	63
Arpin	0	1952
Arpp19	3	653
Arpp21	2	14
Aqp4	2	19
Arrb1	0	1154
Arrb2	0	775
Arrdc1	1	883
Arrdc2	2	321
Amot	2	23
Arrdc3	0	1861
Arrdc4	0	5
Arsa	0	3272
Arsb	1	2023
Arse	1	411
Arsg	3	3595
Arsi	1	26
Arsk	2	2301
Art1	5	65
Art3	2	562
Arv1	1	1352
Arvcf	1	11
As3mt	1	2129
Asah1	3	2942
Asap1	0	3232
Asap2	0	183
Asap3	1	182
Asb1	2	190
Asb12	5	14
Asb13	0	256
Asb16	5	56
Asb2	5	20
Akap6	5	25
Asb3	0	2263
Asb5	2	18
Asb6	1	1255
Asb7	0	2213
Asb8	2	2612
Ascc1	3	3860
Ascc2	3	2637
Ascc3	0	2527
Ascl3	4	46
Asf1a	2	1731
Asgr2	0	278
Ash1l	0	1926
Ash2l	3	3557
Asl	0	2091
Asmtl	1	756
Asns	3	913
Aatf	3	12
Asnsd1	2	1235
Aspa	0	34
Asph	2	117
Aspscr1	1	2557
Asrgl1	3	40
Aste1	0	308
Astn2	1	23
Asxl1	0	3227
Asxl2	0	2646
Atad1	2	86
Atad2	0	1563
Atad2b	0	728
Atad3a	1	1673
Atat1	2	581
Atcay	4	114
Ate1	2	3576
Atf1	2	2680
Atf2	0	3375
Atf4	2	620
Atf5	1	79
Atf6	3	4069
Atf6b	1	1883
Atf7	0	3602
Atf7ip	2	1751
Atg10	4	457
Atg101	2	608
Atg12	3	4033
Atg13	0	4209
Atg14	0	3474
Atg16l1	1	933
Atg16l2	1	73
Atg2a	1	2674
Atg2b	0	3601
Atg3	3	1883
Atg4b	1	2248
Atg4c	2	2740
Atg4d	1	387
Atg5	1	4310
Atg7	0	4006
Atg9a	2	1896
Atic	3	3337
Atl1	0	13
Atl2	2	1231
Atl3	3	3108
Atm	0	2953
Atmin	2	1802
Atn1	1	3382
Atox1	3	1792
Atp10a	1	499
Atp10d	0	2834
Atp11a	0	3226
Atp11b	0	3335
Atp11c	0	2395
Atp13a1	1	2129
Atp13a2	1	1254
Atp13a3	0	2322
Atp1a1	2	760
Atp1a2	2	1134
Atp1b1	2	105
Atp1b2	2	77
Atp1b3	3	3776
Atp23	1	2441
Atp2a2	2	1946
Atp2a3	1	78
Atp2b1	2	1368
Atp2b3	2	8
Arhgap44	2	4
Atp2b4	1	304
Atp2c1	0	1796
Atp5f1a	2	1229
Atp5f1b	2	1628
Atp5f1d	2	1711
Atp5mc2	2	1517
Atp5mc3	1	999
Atp5me	2	269
Atp5mf	2	985
Atp5mg	2	1434
Atp5mk	2	939
Atp5pb	2	1459
Atp5pd	2	1421
Atp5pf	2	474
Atp5po	2	1487
Atp6ap1	3	3865
Atp6ap2	3	1609
Atp6v0a1	0	4096
Atp6v0c	3	3619
Atp6v0d1	3	3347
Atp6v0e2	1	1158
Atp6v1a	3	3554
Atp6v1b2	3	3239
Atp6v1c1	0	3691
Atp6v1c2	4	4
Atp6v1d	2	1075
Atp6v1e1	2	1811
Atp6v1fnb	2	2404
Atp6v1g1	0	4458
Atp6v1h	3	4113
Atp7a	0	2775
Atp7b	3	522
Atp8a1	2	50
Atp8a2	4	269
Atp8b1	0	1820
Atp8b2	1	381
Atp8b4	0	695
Atp9a	2	887
Atp9b	1	3647
Atpaf1	2	2105
Atpaf2	1	1424
Atpsckmt	2	575
Atr	1	3269
Atrip	0	2404
Atrn	0	2665
Atrnl1	3	2657
Atrx	0	1777
Atxn1	2	3
Atxn10	3	3420
Atxn1l	0	4263
Atxn2	0	1544
Atxn2l	1	2702
Atxn3	0	1729
Atxn7	0	1514
Atxn7l1	0	576
Atxn7l2	2	49
Atxn7l3	1	382
Atxn7l3b	0	4311
AU040320	2	1790
Auh	3	661
Aup1	3	3059
Aurka	0	601
Aurkaip1	1	814
Aurkc	0	635
Aven	2	1062
Avl9	0	3049
Avpi1	3	3152
AW146154	0	687
Axin1	0	3884
Axin2	0	45
Axl	1	696
Azi2	0	2661
Azin1	3	2245
Azin2	1	367
B2m	3	525
AABR07042326.2	0	13
B3galnt1	0	1110
B3galnt2	2	619
B3galt1	0	694
B3galt6	1	41
B3gat3	1	1562
B3glct	3	3673
B3gnt2	0	1942
B3gnt4	4	352
B3gnt5	4	102
B3gnt6	3	1628
B3gnt7	3	1892
B3gnt9	1	1413
B3gntl1	1	802
B4galnt1	4	34
B4galt1	0	2330
B4galt2	1	515
B4galt3	1	1807
B4galt4	0	1243
B4galt5	0	1762
B4galt6	2	293
B4galt7	1	2207
B4gat1	2	2128
B9d1	1	2522
B9d2	1	2621
Baalc	4	35
