	cluster	degree
Adssl1	4	81
AABR07070456.1	4	6
Aebp1	1	2522
Aebp2	2	985
Aen	3	1161
Afap1	1	2244
Afap1l2	1	1026
Afdn	2	1254
Aff1	4	57
Adgra3	0	52
Aff3	1	2041
Aff4	2	929
Afg3l2	0	464
Aftph	3	911
AABR07030911.1	3	98
Aga	1	2034
Agap1	0	1133
Agap2	1	20
Adgrl1	1	8
Agap3	0	757
Ager	2	1405
AABR07026317.1	2	6
Agfg2	2	717
Aggf1	3	697
Agk	2	225
Agl	4	135
Agmo	2	941
Ago1	2	244
Ago2	0	450
Ago3	2	631
Ago4	1	255
Agpat1	4	50
Afap1l1	4	59
Agpat2	1	211
Agpat4	1	2813
Agpat5	2	19
Ado	2	57
Agps	0	1946
Agrn	1	1274
Agt	1	37
Agtpbp1	4	8
Agtr1a	1	2150
Agtrap	0	1841
Ahctf1	2	2592
Ahcy	0	1842
Ahcyl1	1	3126
Ahcyl2	2	14
Ahi1	0	1077
Ahnak	0	139
Ahr	1	2137
Ahsa1	0	1377
AI467606	1	1075
Aida	1	1022
Aif1	1	1612
Aif1l	1	1300
Aifm1	3	89
Afg3l1	3	64
Aig1	3	847
Aim2	3	5
Aimp2	4	38
Acsl1	4	3
Aip	0	1261
Ajm1	0	99
Aimp1	0	46
Ajuba	1	1066
Ak2	1	923
Ak3	0	23
Ak6	0	1227
Akap10	2	3389
Akap11	2	682
Akap12	1	541
AABR07073181.1	1	24
Akap13	2	256
Akap17a	1	568
Akap2	1	1559
Akap5	4	10
Akap7	3	1678
Akap8	2	2352
Akap8l	2	386
Akap9	0	388
Akirin1	1	111
Akirin2	2	204
Akna	1	1663
Akr1a1	3	349
Akr1b8	1	279
Akr1c14	0	480
Akr1c15	0	191
Akr1c19	1	134
Akr1c3	1	83
Akt1	3	92
Akt1s1	0	1473
Akt2	0	131
Akt3	1	2092
Aktip	0	288
Alad	0	14
Akr7a2	0	11
Alas2	1	120
Alb	5	19
Alcam	1	1870
Aldh16a1	1	1961
Aldh18a1	1	1616
Aldh1a2	1	646
Aldh1a3	1	421
Aldh1l1	0	934
Aldh3a2	3	1549
Aldh5a1	0	119
Aldh6a1	0	488
Aldh7a1	0	538
Aldh9a1	0	344
Aldoa	4	150
Aldob	5	32
Aldoc	0	181
Alg1	2	176
Alg10	2	2076
Alg11	3	124
Alg12	3	526
Alg13	2	71
Alg14	1	761
Akip1	4	27
Alg2	1	67
Alg3	3	105
Alg5	3	2182
Alg6	2	1678
Alg8	1	1599
Alg9	2	2624
Alkbh1	2	2307
Alkbh3	0	52
Akap1	0	8
Alkbh4	2	46
Alkbh5	0	908
Alkbh6	0	284
Alkbh7	0	673
Aldh1a1	0	30
Alkbh8	0	1709
Alms1	1	2207
Alox15	1	48
Alox5	1	613
Alox5ap	1	1876
Alpk1	0	190
Alpk3	0	404
Als2	2	1460
Als2cl	1	138
Alyref	3	2045
Amacr	0	178
Ambp	5	27
Ambra1	2	1329
Amd1	0	42
Amdhd2	1	1925
Amfr	0	42
Amhr2	4	1
Acox2	4	8
Amigo1	0	925
Amigo3	1	1569
Ammecr1	1	2592
Ammecr1l	1	2184
Amn1	0	1005
Amot	0	52
Amotl1	4	21
Amotl2	1	1104
Ampd1	0	27
Ampd2	1	1818
Ampd3	0	123
Amt	2	243
Amy1a	4	15
Amz1	1	1798
Amz2	0	1345
Anapc1	2	50
Anapc10	3	743
Anapc13	0	15
AC126581.1	0	11
Anapc15	0	35
Anapc2	2	2289
Anapc4	3	2088
Anapc5	0	32
Anapc7	0	1499
Angel1	0	130
Angel2	0	1472
Angpt2	1	1620
Angpt4	1	988
Angptl1	1	278
Angptl4	1	146
Angptl8	1	11
Ank1	4	96
Ank2	4	50
1110002E22Rik	4	21
AABR07061825.2	4	4
Ank3	4	21
Ankef1	1	48
Ankfy1	1	3129
Ankib1	2	2002
Ankle2	2	2835
Ankmy2	0	189
Ankra2	3	551
Ankrd1	3	8
1700102P08Rik	3	12
Ankrd10	2	989
Ankrd11	2	321
Ankrd12	2	1664
Ankrd13a	1	2664
Ankrd13b	0	859
Ankrd13c	2	2029
Ankrd16	3	17
Ankrd17	0	1181
Ankrd2	4	51
Ankrd24	0	567
Ankrd26	1	429
Ankrd27	1	2409
Ankrd33b	1	1443
Ankrd37	0	6
Ankrd39	0	882
Ankrd40	4	47
Ankrd44	1	3068
Ankrd45	2	272
AABR07067762.1	2	5
Ankrd49	3	446
AABR07036855.1	0	8
Ankrd50	1	1230
Ankrd54	0	1721
Anks1a	2	783
Anks3	2	1071
Ankzf1	2	2298
Ano1	1	665
Ano10	0	713
Ano5	4	10
Ano6	2	431
Anp32a	1	3224
Anp32b	0	2233
Anp32e	0	1582
AABR07053472.1	3	112
Anpep	1	2135
Antxr1	1	1975
Antxr2	1	1651
Anxa1	1	2038
Anxa11	0	261
Anxa2	1	2442
Anxa3	1	1923
Anxa4	0	904
Anxa5	1	2714
Anxa6	3	422
Anxa7	0	2136
Aoah	1	2382
Aopep	2	16
Aox1	2	985
Aox4	1	315
Ap1ar	3	1695
Ap1b1	1	2791
Ap1g1	3	618
Ap1m1	3	3012
AABR07057196.1	2	46
Ap1s1	3	2634
Ap2a1	0	271
Ap2a2	0	47
Ap2b1	2	2917
Ap2m1	0	1934
Ap3b1	0	2598
Ap3d1	0	1887
Ap3m1	1	2177
Ap3m2	1	1768
Adal	1	45
Ap3s1	3	1924
Ap3s2	3	1652
Ap4b1	2	190
Ap4e1	2	70
Ap4m1	1	2510
Ap4s1	0	643
Ap5b1	1	498
Ap5m1	3	2042
Apaf1	1	2687
Apba1	1	2108
Apba3	0	986
Apbb1	4	13
Apbb1ip	1	2625
Apbb2	0	977
Apbb3	2	32
AABR07007675.2	2	10
Apc	0	1007
Apcdd1	1	2154
Apex1	0	2000
Apex2	2	1353
AABR07000292.1	2	17
Aph1a	2	2755
Aph1b	1	2342
Api5	3	3438
Apip	3	68
Adk	0	22
Aplf	1	633
Aplp1	1	315
Aplp2	1	1930
Apmap	2	2520
Apoa1	5	29
Apoa2	5	32
Apobec1	1	2210
Apoc3	5	31
Apoe	1	2703
Apoh	5	24
Apol2	2	243
Apol3	1	1793
Apol9a	4	5
AABR07058464.1	4	6
Apold1	1	424
Apoo	4	62
Apool	0	868
App	1	96
Appbp2	1	2705
Appl1	2	2889
Appl2	1	450
Aprt	1	2990
Aptx	3	480
Aqp1	1	401
Aqp4	4	9
Agbl1	4	15
Aqp7	1	199
Aqr	2	2593
Ar	1	26
Araf	0	566
Arap1	1	3274
Arap2	2	108
Apeh	0	8
Arap3	1	1068
Arc	1	490
Arcn1	0	2658
Arel1	3	713
Arf1	0	2216
Arf2	1	1022
Arf4	1	3091
Arf5	3	583
Arf6	1	2710
Arfgap1	0	1409
Arfgap2	0	1473
Arfgap3	2	3308
Arfgef1	0	1346
Arfgef2	2	2055
Arfip1	1	3551
Arfip2	2	2641
Arfrp1	3	2337
Arhgap1	2	1035
Arhgap10	0	1201
Arhgap11a	1	171
Arhgap12	0	758
Arhgap17	2	64
Arhgap18	1	191
Arhgap20	0	180
Arhgap21	0	319
Arhgap22	1	2664
Arhgap23	1	2023
Arhgap24	2	629
Arhgap25	1	1907
Arhgap26	2	2498
Arhgap27	1	1453
Arhgap28	0	118
Adamts6	0	17
Arhgap29	1	1346
Arhgap30	1	2457
Arhgap31	1	706
Arhgap35	0	1574
Arhgap39	2	2328
Arhgap4	1	2113
Arhgap42	1	1949
Arhgap44	4	38
Akap6	4	15
Ankrd52	4	21
Arhgap45	1	1766
Arhgap5	0	172
Arhgap6	2	661
Arhgap9	1	1422
Arhgdia	1	2640
Arhgdib	1	2753
Arhgef1	1	3178
Arhgef10	1	2195
Arhgef10l	4	21
Ankrd9	4	72
Ano8	4	3
Arhgef11	2	246
Arhgef12	0	143
Arhgef15	1	935
Arhgef17	0	900
Arhgef18	3	2234
Arhgef2	1	3006
Arhgef25	1	1858
Arhgef28	1	3
Acss3	3	7
Arhgef3	1	2926
Arhgef40	1	54
Arhgef6	0	5
Arhgef7	4	8
Arhgef9	4	20
Arid1a	2	1960
Arid1b	2	570
Arid2	2	1351
Arid3a	3	608
Arid3b	0	62
Arid4a	2	2318
Arid4b	3	2383
Arid5a	2	629
AABR07055919.1	2	11
