	cluster	degree
Acsm5	5	85
Acss1	0	396
Acss2	3	2668
Acss3	1	215
A3galt2	1	43
Acta1	0	1317
Actb	4	277
AABR07039210.2	0	170
Actg1	0	1200
Actl6a	3	1538
Actl6b	2	133
Actn1	0	1517
Actn2	0	1437
Actn4	0	1622
Actr10	3	2061
Actr1a	4	736
Actr1b	4	221
Actr2	0	1569
Actr3	0	1158
Actr3b	0	1222
Actr5	2	690
Actr6	3	1707
Actr8	2	2819
Acvr1	2	378
Acvr1b	0	1110
Acvr1c	3	1380
Acvr2a	0	413
Acvr2b	0	1620
Acvrl1	1	14
Abcb1b	1	16
Acy1	1	224
Acyp1	3	1785
Acyp2	1	268
Adam10	3	2696
Adam11	2	582
Adam12	2	2445
Adam15	1	175
Adam17	3	1840
Adam19	2	73
Adam22	2	1418
Adam23	2	2048
Adam33	0	642
Adam8	0	9
Adam9	5	54
Adamts1	1	467
Adamts10	3	2058
Adamts12	1	21
Adamts13	4	74
Adamts15	2	1820
Adamts17	5	132
Adamts18	3	1742
Adamts2	3	1836
Adamts20	5	40
Adamts3	0	1144
Adamts4	1	687
Adamts5	1	676
Adamts6	1	136
Adamtsl2	0	642
Adamtsl4	1	828
Adamtsl5	1	35
Adap1	0	1155
Adap2	2	447
Adar	0	481
Adarb1	3	2418
Adarb2	2	1104
Adat3	2	399
Adck1	0	925
Adck5	3	1897
Adcy1	2	120
Adcy2	0	1434
Adcy3	0	859
Adcy4	1	57
AB124611	1	30
Adcy5	0	1434
Adcy6	0	242
Adcy7	1	484
Adcy8	3	3029
Adcy9	0	1233
Adcyap1	0	87
Adcyap1r1	1	103
Adamtsl1	2	58
Add1	0	1459
Add2	0	1292
Add3	1	637
Adgra1	0	1333
Adgra2	1	80
Acta2	1	30
Adgra3	1	111
Acsl3	1	19
Adgrb1	0	1503
Adgrb2	0	1620
Adgrb3	0	287
Adgrd1	0	1055
Adgre5	1	31
Adgrf5	1	28
Adgrg1	0	1148
Adgrg2	1	1071
Adgrg6	3	2903
Adgrl1	0	1621
Adgrl2	0	637
Adgrl3	2	1572
Adgrl4	1	4
Abcc9	1	30
Adgrv1	1	824
Adh5	4	1434
Adh6	5	133
Adhfe1	0	230
Adi1	3	1891
Adipor1	1	785
Adipor2	1	1640
Adk	3	1555
Adm	1	25
Adnp	0	439
Adnp2	2	1343
Ado	2	825
Adora1	3	2371
Adora2b	1	50
Adpgk	1	809
Adprh	4	832
Adprhl1	3	1754
Adprm	3	848
Adprs	4	1169
Adra1a	0	975
Adra1b	0	741
Adra1d	0	649
Adra2a	0	560
Adra2b	3	406
Adrb1	0	1531
Adrb2	3	837
Adrm1	4	1824
Adsl	0	322
Adss	1	2109
Adssl1	0	1026
Aebp1	1	229
Ada	1	85
Aebp2	2	548
Aen	1	550
Afap1	1	357
Afap1l1	0	129
Afap1l2	3	2159
Afdn	2	1302
Aff1	2	941
Aff2	2	1112
Aff3	0	21
Aff4	2	1429
Afg3l1	1	2495
Afg3l2	2	2068
Afmid	1	16
AC099453.1	1	25
Aftph	3	3073
Aga	1	977
Agap1	1	1184
Agap2	0	1248
Agap3	0	778
Agbl2	3	2998
Agbl3	5	244
Agbl5	0	12
Abcd1	0	57
Ager	2	238
Agfg2	4	55
Aggf1	0	420
1700028K03Rik	2	144
Agk	0	494
Agl	3	2970
Agmo	1	1061
Ago1	2	208
Ago2	0	55
Ago3	1	232
4930503L19Rik	1	28
Ago4	3	35
Agpat1	0	1367
Agpat3	2	485
Agpat4	1	2421
Agpat5	3	3342
Agps	3	3266
Agrn	0	1345
Agt	1	1865
Agtpbp1	2	310
Agtrap	1	144
Ahctf1	2	1090
Ahcy	4	1201
Ahcyl1	3	2525
Ahcyl2	3	2071
Ahdc1	2	649
Ahi1	1	418
Ahnak	1	133
Ahr	0	1382
Ahsa1	4	1038
Ahsa2	2	32
AI593442	0	1502
Aida	1	198
Aif1	1	65
Abcg3l2	1	51
Abi3	1	31
Adgre1	1	43
Aif1l	1	927
Aifm1	4	2662
Aifm2	1	166
AABR07044631.2	1	9
Aifm3	3	2967
Aig1	3	2544
Aimp1	2	208
Aimp2	4	280
Aip	3	2497
Ajap1	0	1641
Ajm1	3	2583
